Municipio	CodIbge	AreaKm2	Desmatado	Floresta
Lago do Junco	2105807	312	312.9	0
Curvelândia	5103437	749	312.8	111
Wanderlândia	1722081	1382	309.1	148.9
Luís Domingues	2106201	468	309	99.8
Porto Grande	1600535	4405	307.6	1984.9
São Pedro da Cipa	5107404	344	306.3	6.8
Carmolândia	1703883	340	306.1	33.8
Curuá	1502855	1430	301	387
Tocantinópolis	1721208	1084	300.5	135
São Vicente Ferrer	2111706	394	297.6	0
Alvarães	1300029	6029	297.1	5033.6
Sítio Novo do Tocantins	1720804	325	292.4	32.6
Tapauá	1304104	90959	291.6	86480.7
Glória d'Oeste	5103957	848	291.5	46.8
Matinha	2106508	414	288.3	2.2
Itapecuru Mirim	2105401	1182	286.7	603.5
Carauari	1301001	26472	285.8	24990.5
Davinópolis	2103752	340	282.5	57.5
Governador Edison Lobão	2104552	618	280.9	22.9
São Raimundo do Doca Bezerra	2111631	284	280.2	3.5
Nazaré	1714302	398	280.1	34.9
Santo Antônio dos Lopes	2110302	781	278.5	1.6
Reserva do Cabaçal	5107156	371	270.8	100.2
Serra Nova Dourada	5107883	1481	268.4	259.1
Tartarugalzinho	1600709	6716	267.9	2354.6
Governador Eugênio Barros	2104602	829	266.7	285.7
São José dos Basílios	2111250	365	265.7	4.4
Curuçá	1502905	674	262.4	0
Campo Novo do Parecis	5102637	9467	261.2	1575.1
Caseara	1703909	1698	260.8	326.2
Central do Maranhão	2103125	370	257.3	8.4
Tufilândia	2112274	280	255.9	0
Codajás	1301308	18940	254.8	16422.8
Pirapemas	2108801	696	253.9	0
Lajeado Novo	2105989	1055	253.5	20
São João do Paraíso	2111052	2069	250.9	21.5
Amajari	1400027	28788	250.5	19224.2
Santa Rita	2110203	800	249.9	350.7
Belém	1501402	1071	245.4	0
Peri Mirim	2108405	409	243.6	26.9
Fortuna	2104206	705	233.2	203.5
Vitória do Mearim	2112902	736	233	24.7
São Roberto	2111672	230	230.3	0
Caapiranga	1300839	9551	230.1	8672.3
Uarini	1304260	10449	229.8	9118.2
Miranda do Norte	2106755	356	229.1	61.2
Atalaia do Norte	1300201	80044	228.7	78326.3
Cocalinho	5103106	16562	227	1741.9
Couto de Magalhães	1706001	1591	226.4	97.7
Bela Vista do Maranhão	2101772	255	225.5	0
São Caetano de Odivelas	1507102	752	225.3	0
Jutaí	1302306	71771	224.5	66615
Manoel Urbano	1200344	9741	223.4	9464.9
Faro	1503002	11794	222	11150.1
Cantanhede	2102705	809	221.8	0.2
Lagoa da Confusão	1711902	10578	219.5	2018.2
Brasilândia do Tocantins	1703602	643	218.8	4.8
Capinzal do Norte	2102754	635	217.6	0
Peritoró	2108454	757	216.2	0
Buriti do Tocantins	1703800	250	215	0.9
Esperantina	1707405	504	214.5	14.9
Praia Norte	1718303	290	214.4	35
Vigia	1508209	536	214.2	0
Ipixuna	1301803	14195	214	13771.5
Igarapé do Meio	2105153	397	211.7	9
Dom Pedro	2103802	374	210.6	10.2
Juarina	1711803	482	210.3	13.5
Pedra Branca do Amaparí	1600154	9496	208.2	8128.1
Apicum-Açu	2100832	655	206.4	234.6
Santa Isabel do Rio Negro	1303601	64132	205.6	54437.1
Pauini	1303502	44594	201.2	43585.3
Cedral	2103109	263	201.1	52.2
Beruri	1300631	17412	200.7	15751.5
Boa Vista do Ramos	1300680	2588	198.4	1129.1
Lago dos Rodrigues	2105948	197	197	0
Campo Verde	5102678	4794	196.1	54.8
Angico	1701051	441	194.6	35
Barcelos	1300409	124166	193.2	91361.9
Anamã	1300086	2474	192	2000.8
Bernardo do Mearim	2101939	264	189.8	0.1
Marechal Thaumaturgo	1200351	8145	188.7	7862
São Sebastião do Uatumã	1303957	10775	188	9856.3
Vitória do Jari	1600808	2483	187.6	1289.7
São João de Pirabas	1507474	703	186.2	16.9
Curralinho	1502806	3626	185.3	1621.5
Nova Nazaré	5106174	4039	184.8	1076.7
Graça Aranha	2104701	274	184.1	89.9
Olinda Nova do Maranhão	2107456	200	183.7	0
Benjamin Constant	1300607	9151	183.7	8495.2
Alto Alegre do Maranhão	2100436	424	183.2	1
Formoso do Araguaia	1708205	13459	180.2	845.3
Pedreiras	2108207	291	179.2	0.1
Sapezal	5107875	13640	176.9	2863.9
Novo Santo Antônio	5106315	4375	176.6	511.2
Cutias	1600212	2118	176.1	371.1
Colinas	2103505	2065	175.7	166.6
Bagre	1501105	4402	174.9	1992.2
Primavera	1506104	261	174.1	0
Cuiabá	5103403	3539	173.3	174.1
São Paulo de Olivença	1303908	20470	172.9	18945
Oiapoque	1600501	22643	172.7	14674.5
Governador Archer	2104503	442	169.7	0
Pindaré-Mirim	2108504	240	168.7	0
Terra Alta	1507961	209	168.1	0.8
Guiratinga	5104203	5361	167.4	0.3
Anajás	1500701	6939	162.5	5148.9
Laranjal do Jari	1600279	30971	161.3	26365.5
Magalhães Barata	1504109	326	160.6	0.1
Itiquira	5104609	8638	159.8	220.6
Santa Bárbara do Pará	1506351	279	157.8	0
Luzinópolis	1712454	281	155.3	21.5
Trizidela do Vale	2112233	225	152.6	0
Tabatinga	1304062	3346	151.3	2889.7
Melgaço	1504505	6782	150.2	5244.5
São João Batista	2111003	699	148.1	56
Porto Walter	1200393	6461	147.7	6304.9
Porto Rico do Maranhão	2109056	227	146.1	70.5
Santarém Novo	1506906	231	142.7	0
Maurilândia do Tocantins	1712801	741	141.8	66
Calçoene	1600204	14284	140.7	9769.8
Juruá	1302207	19848	139.5	17264.3
Axixá do Tocantins	1702901	151	139.2	11.6
São Sebastião do Tocantins	1720309	288	139.2	0
Assis Brasil	1200054	2986	138.9	2816.1
Marianópolis do Tocantins	1712504	2096	133.1	200
Governador Luiz Rocha	2104628	377	132.5	190.4
Itapiranga	1302009	4245	131.4	3779.3
Santo Antônio do Içá	1303700	12746	130	10897.4
Ferreira Gomes	1600238	5048	130	2282.1
Montes Altos	2107001	1348	126.1	57.7
Benevides	1501501	189	124.3	0
São Sebastião da Boa Vista	1507706	1636	119.9	713.9
Jatobá	2105450	393	118.3	131.6
Itamarati	1301951	26048	116.3	24958.6
Lima Campos	2106003	326	115.2	0
Jordão	1200328	5692	113.4	5563.8
Amaturá	1300060	4904	110.5	4092
Novo Airão	1303205	38112	110	33544.7
Nossa Senhora do Livramento	5106109	5200	109.3	79.9
Cachoeirinha	1703826	354	107.3	38.7
Carrasco Bonito	1703891	195	106.6	0
Aguiarnópolis	1700301	237	106.3	23.5
Campos de Júlio	5102686	6832	105.3	474.5
Maraã	1302801	17221	104.7	13642.4
Salvaterra	1506302	1048	103.5	108.1
Amapá	1600105	9185	100.9	2413
Goianorte	1708304	1806	99.7	54.2
São João da Ponta	1507466	196	98.7	0
Muaná	1504901	3776	98.5	1227.7
Senador Alexandre Costa	2111748	432	97.8	142.3
Fonte Boa	1301605	12393	95	9760.3
São José de Ribamar	2111201	390	95	80.8
Urucurituba	1304401	2915	93.1	131.2
Chaves	1502509	13114	92.3	3589.4
Colares	1502608	612	89.8	0
Gurupá	1503101	8550	88.7	6084.6
Itaubal	1600253	1705	88	400.4
Ananindeua	1500800	185	87.4	0
Cajapió	2102408	917	85	295.9
