"NOM_MUNICI" "COD_MUNICI" "count"
"434" "CIDELANDIA" "2103257" 60
"435" "COLINAS" "2103505" 1
"436" "DAVINOPOLIS" "2103752" 6
"437" "ESTREITO" "2104057" 24
"438" "FERNANDO FALCAO" "2104081" 1
"439" "FORMOSA DA SERRA NEGRA" "2104099" 4
"440" "GOVERNADOR EDSON LOBAO" "2104551" 13
"441" "GOVERNADOR EDISON LOBAO" "2104552" 4
"442" "GOVERNADOR NEWTON BELLO" "2104651" 1
"443" "GOVERNADOR NUNES FREIRE" "2104677" 11
"444" "GRAJAU" "2104800" 101
"445" "IMPERATRIZ" "2105302" 95
"446" "ITAIPAVA DO GRAJAU" "2105351" 1
"447" "ITAPECURU MIRIM" "2105401" 2
"448" "ITINGA DO MARANHAO" "2105427" 46
"449" "JOAO LISBOA" "2105500" 9
"450" "LAGO DA PEDRA" "2105708" 1
"451" "LAJEADO NOVO" "2105989" 5
"452" "MARACACUME" "2106326" 2
"453" "MARAJA DO SENA" "2106359" 2
"454" "MARANHAOZINHO" "2106375" 2
"455" "MIRANDA DO NORTE" "2106755" 1
"456" "MIRINZAL" "2106805" 1
"457" "MONTES ALTOS" "2107001" 7
"458" "PACO DO LUMIAR" "2107506" 2
"459" "PALMEIRANDIA" "2107605" 1
"460" "PASSAGEM FRANCA" "2107902" 1
"461" "PEDREIRAS" "2108207" 1
"462" "PINDARE-MIRIM" "2108504" 1
"463" "PINHEIRO" "2108603" 2
"464" "PORTO FRANCO" "2109007" 15
"465" "RIACHAO" "2109502" 3
"466" "RIBAMAR FIQUENE" "2109551" 11
"467" "ROSARIO" "2109601" 1
"468" "SANTA INES" "2109908" 3
"469" "SANTA LUZIA DO PARUA" "2110039" 10
"470" "SAO DOMINGOS DO AZEITAO" "2110658" 1
"471" "SAO FRANCISCO DO BREJAO" "2110856" 1
"472" "SAO JOAO DO CARU" "2111029" 1
"473" "SAO JOAO DO PARAISO" "2111052" 1
"474" "SAO JOSE DE RIBAMAR" "2111201" 1
"475" "SAO LUIS" "2111300" 2
"476" "SAO MATEUS DO MARANHAO" "2111508" 1
"477" "SAO PEDRO DA AGUA BRANCA" "2111532" 1
"478" "SAO RAIMUNDO DAS MANGABEIRAS" "2111607" 3
"479" "SENADOR LA ROCQUE" "2111763" 10
"480" "SITIO NOVO" "2111805" 14
"481" "TASSO FRAGOSO" "2112001" 2
"482" "TUNTUM" "2112308" 19
"483" "TURIACU" "2112407" 1
"484" "VIANA" "2112803" 1
"485" "VILA NOVA DOS MARTIRIOS" "2112852" 3
"486" "ZE DOCA" "2114007" 6
"487" "ACORIZAL" "5100102" 6
"488" "AGUA BOA" "5100201" 24
"489" "ALTA FLORESTA" "5100250" 176
"490" "ALTO ARAGUAIA" "5100300" 18
"491" "ALTO BOA VISTA" "5100359" 73
"492" "ALTO GARCAS" "5100409" 21
"493" "ALTO PARAGUAI" "5100508" 7
"494" "ALTO TAQUARI" "5100607" 14
"495" "APIACAS" "5100805" 74
"496" "ARAGUAIANA" "5101001" 16
"497" "ARAGUAINHA" "5101209" 10
"498" "ARAPUTANGA" "5101258" 1
"499" "ARIPUANA" "5101407" 372
"500" "BARAO DE MELGACO" "5101605" 2
"501" "BARRA DO BUGRES" "5101704" 3
"502" "BARRA DO GARCAS" "5101803" 20
"503" "BOM JESUS DO ARAGUAIA" "5101852" 58
"504" "BRASNORTE" "5101902" 80
"505" "CACERES" "5102504" 105
"506" "CAMPINAPOLIS" "5102603" 7
"507" "CAMPO NOVO DO PARECIS" "5102637" 5
"508" "CAMPO VERDE" "5102678" 17
"509" "CAMPOS DE JULIO" "5102686" 3
"510" "CANABRAVA DO NORTE" "5102694" 49
"511" "CANARANA" "5102702" 114
"512" "CARLINDA" "5102793" 23
"513" "CASTANHEIRA" "5102850" 24
"514" "CHAPADA DOS GUIMARAES" "5103007" 20
"515" "CLAUDIA" "5103056" 83
"516" "COCALINHO" "5103106" 30
"517" "COLIDER" "5103205" 9
"518" "COLNIZA" "5103254" 473
"519" "COMODORO" "5103304" 45
"520" "CONFRESA" "5103353" 125
"521" "CONQUISTA D'OESTE" "5103361" 4
"522" "COTRIGUACU" "5103379" 99
"523" "CUIABA" "5103403" 81
"524" "CURVELANDIA" "5103437" 1
"525" "DIAMANTINO" "5103502" 10
"526" "DOM AQUINO" "5103601" 2
"527" "FELIZ NATAL" "5103700" 134
"528" "FIGUEIROPOLIS D'OESTE" "5103809" 6
"529" "GAUCHA DO NORTE" "5103858" 204
"530" "GENERAL CARNEIRO" "5103908" 3
"531" "GLORIA D'OESTE" "5103957" 5
"532" "GUARANTA DO NORTE" "5104104" 98
"533" "GUIRATINGA" "5104203" 21
"534" "INDIAVAI" "5104500" 4
